ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLY_DATE,LATITUDE,LONGITUDE
ORD,LAX,1744,1/12/2006,41.9796,-87.90446
LAX,BNA,1797,1/06/2006,33.94254,-118.40807
LGA,DAL,1381,1/10/2006,40.77724,-73.87261
MCI,MCO,1072,1/07/2007,39.29761,-94.71391
MKE,ATL,669,1/01/2007,42.94722,-87.89658
ALB,FLL,1204,1/10/2007,42.74812,-73.80298
PVD,TPA,1136,1/08/2007,41.724,-71.42822
SFO,LAS,414,1/09/2007,37.619,-122.37484
PDX,LAS,763,1/05/2007,45.58872,-122.5975
IAH,SFO,1635,1/02/2007,29.98047,-95.33972
TPA,PHX,1788,1/06/2007,27.97547,-82.53325
SFO,JFK,2586,1/11/2007,37.619,-122.37484
DFW,PHL,1303,1/04/2007,32.89595,-97.0372
SAT,DFW,247,1/12/2007,29.53369,-98.46978
IAD,MIA,921,1/03/2007,38.94453,-77.45581
BWI,MIA,946,1/11/2007,39.1754,-76.6682
MIA,EWR,1085,1/08/2007,25.79325,-80.29056
MIA,MCO,192,1/06/2007,25.79325,-80.29056
BDL,DFW,1471,1/03/2007,41.93887,-72.68323
LAX,DFW,1235,1/10/2007,33.94254,-118.40807
SEA,JNU,909,1/12/2007,47.44898,-122.30931
SEA,SFO,679,1/11/2007,47.44898,-122.30931
PDX,KOA,2607,1/01/2007,45.58872,-122.5975
OAK,OGG,2349,1/07/2007,37.72129,-122.22072
BDL,FLL,1173,1/05/2007,41.93887,-72.68323
BDL,ATL,859,1/09/2007,41.93887,-72.68323
DEN,MSP,680,1/02/2007,39.85841,-104.667
ATL,SLC,1590,1/04/2007,33.64044,-84.42694
CVG,TPA,773,1/04/2007,39.04614,-84.66217
PDX,SLC,630,1/12/2007,45.58872,-122.5975
ORD,RIC,642,1/05/2007,41.9796,-87.90446
CLE,MSP,622,1/07/2007,41.41089,-81.8494
IAH,DTW,1075,1/12/2007,29.98047,-95.33972
IAH,CMH,986,1/10/2007,29.98047,-95.33972
DFW,HOU,247,1/02/2007,32.89595,-97.0372
LCH,DFW,295,1/11/2007,30.1261,-93.2234
LIT,ORD,552,1/04/2007,34.7294,-92.22425
BIS,DFW,977,1/09/2007,46.77411,-100.74672
DFW,CVG,812,1/09/2007,32.89595,-97.0372
IAH,MCO,854,1/09/2007,29.98047,-95.33972
ORF,ORD,717,1/05/2007,36.89461,-76.20122
LAX,CLD,86,1/06/2007,33.94254,-118.40807
TYS,ORD,475,1/01/2007,35.81249,-83.99286
ELP,DEN,563,1/07/2007,31.80667,-106.37781
HNL,ITO,216,1/03/2007,21.31869,-157.92241
LAS,DEN,628,1/05/2007,36.08036,-115.15233
JNU,KTN,234,1/02/2007,58.35496,-134.57628
EWR,IAH,1400,1/07/2007,40.6925,-74.16866
HNL,SFO,2398,1/06/2007,21.31869,-157.92241
JAC,DEN,406,1/01/2007,43.60732,-110.73774
PHX,IAD,1956,1/03/2007,33.43417,-112.00806
IAH,IAD,1190,1/08/2007,29.98047,-95.33972
ORD,CLT,599,1/10/2007,41.9796,-87.90446
BDL,DEN,1671,1/07/2007,41.93887,-72.68323
DEN,CAK,1224,1/12/2007,39.85841,-104.667
